('不伏烧埋', '狐埋狐搰')
('狐埋狐搰', '狐埋狐扬')
('狐埋狐扬', '埋轮破柱')
('埋轮破柱', '埋声晦迹')
('埋声晦迹', '埋天怨地')
('埋天怨地', '埋头顾影')
('埋头顾影', '埋头苦干')
('埋头苦干', '十面埋伏')
('十面埋伏', '系马埋轮')
('系马埋轮', '掩骼埋窆')
('掩骼埋窆', '掩骼埋胔')
('掩骼埋胔', '瘗玉埋香')
('瘗玉埋香', '瘗玉埋香')
('瘗玉埋香', '隐迹埋名')
('隐迹埋名', '隐名埋姓')
('隐名埋姓', '隐姓埋名')
('隐姓埋名', '椎埋穿掘')
('椎埋穿掘', '椎埋狗窃')
('椎埋狗窃', '椎埋屠狗')
('安于现状', '不堪言状')
('不堪言状', '不可名状')
('不可名状', '不可言状')
('不可言状', '出言无状')
('出言无状', '怪形怪状')
('怪形怪状', '佹形僪状')
('佹形僪状', '鬼形怪状')
('鬼形怪状', '骇状殊形')
('骇状殊形', '憨状可掬')
('憨状可掬', '嘉言善状')
('嘉言善状', '惊惶万状')
('惊惶万状', '惊恐万状')
('惊恐万状', '恐慌万状')
('恐慌万状', '狼狈万状')
('狼狈万状', '莫可名状')
('莫可名状', '奇形怪状')
('奇形怪状', '奇形异状')
('奇形异状', '千变万状')
('千变万状', '千汇万状')
('千汇万状', '千态万状')
('千态万状', '千形万状')
('千形万状', '千状万端')
('千状万端', '千状万态')
('千状万态', '殊形诡状')
('殊形诡状', '殊形妙状')
('殊形妙状', '无可名状')
('无可名状', '妖形怪状')
('禅絮沾泥', '脚不沾地')
('脚不沾地', '迷花沾草')
('迷花沾草', '沐露沾霜')
('沐露沾霜', '泣下沾襟')
('泣下沾襟', '惹草沾花')
('惹草沾花', '胁不沾席')
('胁不沾席', '雨沾云惹')
('雨沾云惹', '沾风惹草')
('沾风惹草', '沾花惹草')
('沾花惹草', '沾泥带水')
('沾泥带水', '沾亲带故')
('沾亲带故', '沾亲带友')
('沾亲带友', '沾沾自好')
('沾沾自好', '沾沾自好')
('沾沾自好', '沾沾自满')
('沾沾自满', '沾沾自满')
('沾沾自满', '沾沾自喜')
('沾沾自喜', '沾沾自喜')
('沾沾自喜', '沾沾自衒')
('沾沾自衒', '沾沾自衒')
('附耳射声', '姑射神人')
('姑射神人', '姑射神人')
('姑射神人', '含沙射影')
('含沙射影', '胡服骑射')
('胡服骑射', '射利沽名')
('射利沽名', '射石饮羽')
('射石饮羽', '射像止啼')
('射像止啼', '射影含沙')
('射影含沙', '射鱼指天')
('射鱼指天', '邀名射利')
('邀名射利', '一射之地')
('一射之地', '羿射九日')
('羿射九日', '指天射鱼')
('曹社之谋', '户曹参军')
('户曹参军', '三曹对案')
('三曹对案', '闲曹冷局')
('闲曹冷局', '萧曹避席')
('萧曹避席', '萧规曹随')
('萧规曹随', '阴曹地府')
('鸟入樊笼', '飘樊落溷')
('飘樊落溷', '柙虎樊熊')
('抱子弄孙', '不肖子孙')
('不肖子孙', '断子绝孙')
('断子绝孙', '凤子龙孙')
('凤子龙孙', '福孙荫子')
('福孙荫子', '公子王孙')
('公子王孙', '桂子兰孙')
('桂子兰孙', '含饴弄孙')
('含饴弄孙', '季孙之忧')
('季孙之忧', '绝子绝孙')
('绝子绝孙', '名落孙山')
('名落孙山', '孙康映雪')
('孙康映雪', '孙庞斗智')
('孙庞斗智', '徒子徒孙')
('徒子徒孙', '王孙公子')
('王孙公子', '王孙贵戚')
('王孙贵戚', '文子文孙')
('文子文孙', '孝子慈孙')
('孝子慈孙', '孝子顺孙')
('孝子顺孙', '孝子贤孙')
('孝子贤孙', '炎黄子孙')
('炎黄子孙', '饴含抱孙')
('饴含抱孙', '贻厥孙谋')
('贻厥孙谋', '毓子孕孙')
('毓子孕孙', '子子孙孙')
('子子孙孙', '子子孙孙')
('参伍错综', '参伍错纵')
('参伍错纵', '尺籍伍符')
('尺籍伍符', '尺竹伍符')
('尺竹伍符', '耻与哙伍')
('耻与哙伍', '砥兵砺伍')
('砥兵砺伍', '什围伍攻')
('什围伍攻', '什伍东西')
('什伍东西', '羞与哙伍')
('羞与哙伍', '羞与为伍')
('鞍前马后', '巴前算后')
('巴前算后', '跋前踕后')
('跋前踕后', '跋前痜后')
('跋前痜后', '跋前踬后')
('跋前踬后', '背前面后')
('背前面后', '不顾前后')
('不顾前后', '不记前仇')
('不记前仇', '参前倚衡')
('参前倚衡', '搀前落后')
('搀前落后', '超前绝后')
('超前绝后', '朝前夕惕')
('朝前夕惕', '车在马前')
('车在马前', '承前启后')
('承前启后', '惩前毖后')
('惩前毖后', '踟蹰不前')
('踟蹰不前', '踌躇不前')
('踌躇不前', '大敌当前')
('大敌当前', '蹈袭前人')
('蹈袭前人', '毒手尊前')
('毒手尊前', '顿足不前')
('顿足不前', '风前残烛')
('风前残烛', '风前月下')
('风前月下', '负驽前驱')
('负驽前驱', '负弩前驱')
('负弩前驱', '复蹈前辙')
('复蹈前辙', '各奔前程')
('各奔前程', '顾后瞻前')
('顾后瞻前', '观望不前')
('观望不前', '光前绝后')
('光前绝后', '光前启后')
('光前启后', '裹足不前')
('裹足不前', '后拥前呼')
('后拥前呼', '花前月下')
('花前月下', '兼程前进')
('兼程前进', '鉴前毖后')
('鉴前毖后', '阶前万里')
('阶前万里', '锦片前程')
('锦片前程', '锦绣前程')
('锦绣前程', '尽释前嫌')
('尽释前嫌', '捐弃前嫌')
('捐弃前嫌', '绝后光前')
('绝后光前', '空前绝后')
('空前绝后', '快意当前')
('快意当前', '恇怯不前')
('恇怯不前', '狼前虎后')
('狼前虎后', '敛后疏前')
('敛后疏前', '刘郎前度')
('刘郎前度', '驴前马后')
('驴前马后', '马前泼水')
('马前泼水', '名列前茅')
('名列前茅', '前跋后痜')
('前跋后痜', '前车可鉴')
('前车可鉴', '前车之鉴')
('前车之鉴', '前尘影事')
('前尘影事', '前程万里')
('前程万里', '前度刘郎')
('前度刘郎', '前俯后仰')
('前俯后仰', '前赴后继')
('前赴后继', '前赴后继')
('前赴后继', '前覆后戒')
('前覆后戒', '前歌后舞')
('前歌后舞', '前功皆弃')
('前功皆弃', '前功尽废')
('前功尽废', '前功尽灭')
('前功尽灭', '前功尽弃')
('前功尽弃', '前古未闻')
('前古未闻', '前古未有')
('前古未有', '前合后仰')
('前合后仰', '前呼后拥')
('前呼后拥', '前街后巷')
('前街后巷', '前襟后裾')
('前襟后裾', '前倨后卑')
('前倨后卑', '前倨后恭')
('前倨后恭', '前目后凡')
('前目后凡', '前仆后踣')
('前仆后踣', '前仆后继')
('前仆后继', '前思后想')
('前思后想', '前所未闻')
('前所未闻', '前所未有')
('前所未有', '前庭悬鱼')
('前庭悬鱼', '前徒倒戈')
('前徒倒戈', '前挽后推')
('前挽后推', '前无古人')
