机,机不可失,枉费心机
功,立功赎罪,汗马功劳
风,威风凛凛,弱不禁风
牛,吹牛拍马,九牛一毛
牛,泥牛入海,牛鬼蛇神
牛,牛头马面,牛鼎烹鸡
生,惹是生非,舍生忘死
生,虽死犹生,醉生梦死
生,生离死别,熟能生巧
生,生龙活虎,栩栩如生
生,生不逢时,民不聊生
生,痛不欲生,生而知之
藉,杯盘狼藉,声名狼藉
悦,心悦诚服,爽心悦目
大,大是大非,大公无私
大,大材小用,小题大做
大,大惊小怪,落落大方
大,大腹便便,大名鼎鼎
大,大言不惭,大逆不道
大,大难不死,大惑不解
大,粗心大意,胆大心细
惊,惊天动地,打草惊蛇
惊,惊弓之鸟,心惊肉跳
手,七手八脚,眼高手低
手,措手不及,手不释卷
闻,默默无闻,听而不闻
蝉,噤若寒蝉,金蝉脱壳
来,翻来覆去,人来人往
来,来龙去脉,姗姗来迟
东,声东击西,东倒西歪
枪,单枪匹马,鸟枪换炮
测,深不可测,人心叵测
入,由浅入深,想入非非
入,格格不入,深入人心
持,坚持不懈,持之以恒
车,车水马龙,螳臂当车
当,当仁不让,锐不可当
为,转危为安,古为今用
为,狼狈为奸,为虎作伥
补,取长补短,亡羊补牢
取,杀鸡取卵,取而代之
改,改天换地,改邪归正
朝,朝秦暮楚,朝三暮四
诈,尔虞我诈,兵不厌诈
可,势不可挡,高不可攀
可,牢不可破,妙不可言
刻,刻不容缓,刻骨铭心
头,彻头彻尾,从头到尾
头,虎头蛇尾,品头论足
龙,画龙点睛,龙潭虎穴
龙,龙腾虎跃,龙盘虎踞
懈,始终不懈,常备不懈
关,息息相关,漠不关心
鸡,呆若木鸡,鹤立鸡群
鸡,鸡毛蒜皮,鸡犬不宁
而,似是而非,侃侃而谈
而,学而不厌,迷而不返
而,锲而不舍,华而不实
而,和而不同,平心而论
有,有始有终,彬彬有礼
有,绰绰有余,赫赫有名
有,津津有味,井井有条
有,炯炯有神,念念有词
有,无奇不有,有条不紊
有,行之有效,言之有物
有,心有余悸,别有用心
试,牛刀小试,跃跃欲试
身,身不由己,奋不顾身
食,弱肉强食,蚕食鲸吞
食,寝食不安,饥不择食
鱼,浑水摸鱼,如鱼得水
鱼,鱼目混珠,缘木求鱼
乱,兵荒马乱,心烦意乱
长,三长两短,七长八短
长,说长道短,长吁短叹
长,草长莺飞,一技之长
舍,舍近求远,依依不舍
少,积少成多,少见多怪
快,快马加鞭,心直口快
通,博古通今,披古通今
通,水泄不通,一窍不通
寸,鼠目寸光,寸步不离
合,貌合神离,前仰后合
上,七上八下,上行下效
色,谈虎色变,面不改色
想,思前想后,前思后想
想,朝思暮想,痴心妄想
走,东奔西走,走马观花
绝,空前绝后,滔滔不绝
同,求同存异,同甘共苦
血,兵不血刃,心血来潮
血,呕心沥血,碧血丹心
置,置之度外,推心置腹
难,骑虎难下,患难之交
仁,为富不仁,麻木不仁
留,片甲不留,寸草不留
路,路不拾遗,必由之路
义,天经地义,义不容辞
鸟,笨鸟先飞,鸟语花香
名,名不副实,名不虚传
杀,杀鸡吓猴,杀气腾腾
屈,能屈能伸,威武不屈
山,山南海北,调虎离山
鼠,抱头鼠窜,胆小如鼠
